,baseMean,log2FoldChange,lfcSE,pvalue,padj
SLC24A5,8.365105232,1.882673495,0.645671653,0.000161877,0.001028566
MYEF2,71.28661488,1.593324429,0.477725786,4.57E-05,0.000367687
SLC12A1,19.79143374,1.804574309,0.704971871,0.000363795,0.001986148
DUT-AS1,4.551804189,1.037980301,0.515361537,0.005537873,0.018226168
CEP152,202.019307,1.576390786,0.193646219,3.04E-17,1.04E-14
CYP19A1,21.70461575,5.129907934,1.112212358,8.49E-08,2.03E-06
GLDN,82.81954988,2.864539529,0.580040256,1.94E-08,5.87E-07
CERNA1,24.3074771,1.629169079,0.274220001,2.41E-10,1.34E-08
MYO5C,541.3773066,1.488702333,0.211817661,1.81E-13,2.33E-11
LOC105370820,7.294197938,1.503155038,0.407712655,2.13E-05,0.000193757
LOC105370819,4.387759844,1.192572819,0.417673588,0.000621744,0.003100933
ONECUT1,1916.488415,1.101803699,0.218133282,5.89E-08,1.50E-06
LOC105370824,19.55303634,1.752481503,0.361106202,7.89E-08,1.90E-06
LOC101928499,177.6506737,1.290580746,0.296288442,1.23E-06,1.85E-05
LINC02490,15.90465788,1.101411363,0.436759978,0.001279239,0.00555148
PRTG,41.99055914,1.165356801,0.392049666,0.009175889,0.027393387
TEX9,55.88516881,1.016461312,0.259345374,1.38E-05,0.000136427
MNS1,59.99560955,1.559166877,0.407804517,8.02E-06,8.73E-05
ALDH1A2-AS1,13.56591689,1.164000188,0.418376046,0.000546531,0.002782785
AQP9,5448.021271,-1.120404376,0.399245421,0.00088985,0.004134069
LIPC,1032.412302,-1.450606034,0.288886043,8.12E-08,1.95E-06
CCNB2,69.65958878,2.583546698,0.346428627,3.34E-15,6.34E-13
FAM81A,10.43396386,1.7947995,0.498859112,2.01E-05,0.000185338
LOC102724938,9.316029504,1.28360933,0.602969655,0.002276946,0.008814122
TPM1-AS,143.5803317,1.27803601,0.300945287,2.07E-06,2.86E-05
CA12,63.68245505,2.641218895,0.671046081,1.99E-06,2.77E-05
PCLAF,61.73206962,2.283230017,0.362839056,1.26E-11,1.02E-09
PIF1,17.52949817,1.819993064,0.395531443,2.50E-07,4.91E-06
SLC51B,49.58013346,3.183458865,0.471270797,4.51E-13,5.15E-11
RASL12,36.830584,1.865433766,0.353021313,7.25E-09,2.54E-07
RNU5A-1,12.39503492,-1.36396745,0.283970863,2.37E-07,4.68E-06
RNU5B-1,6.692577503,-1.019429804,0.323655328,0.000325018,0.001814284
IGDCC3,6.435467481,3.817855497,1.597751031,0.000714122,0.00347061
IGDCC4,17.12666146,3.131534417,0.757887025,9.88E-07,1.54E-05
ZWILCH,139.1718479,1.017216849,0.178920423,2.21E-09,9.26E-08
LCTL,18.72803029,1.160248082,0.207509979,3.77E-09,1.45E-07
ITGA11,111.0483638,1.090437419,0.303750246,4.13E-05,0.000338484
MIR4312,6.897088413,1.01091322,0.339088901,0.000503017,0.002596522
PAQR5,148.209873,1.746215662,0.422299153,1.77E-06,2.50E-05
KIF23-AS1,25.62519065,1.718413302,0.394325035,7.64E-07,1.24E-05
KIF23,113.8992986,3.235587392,0.401910301,2.30E-17,8.12E-15
DRAIC,151.8224891,1.047245645,0.501834278,0.003616005,0.012906515
LOC107984788,3.349733545,1.078203358,0.883792347,0.013695858,0.037743708
LOC105370878,21.56570914,1.401692755,0.751057658,0.002703007,0.010163921
LOC105370887,11.15501873,2.013002839,0.453206588,5.21E-07,9.04E-06
GOLGA6B,26.38232408,-1.530157413,0.45547857,0.000102325,0.000713004
LOXL1-AS1,7.94404812,1.210870213,0.544263106,0.002225677,0.008650356
LOXL1,25.3885166,1.157814274,0.440850983,0.000833627,0.003929622
GOLGA6A,26.65548651,-1.863637529,0.39376527,2.71E-07,5.24E-06
LOC107987224,4.658085032,-1.188099215,0.430019486,0.00082129,0.003880944
STRA6,8.228517828,3.14147225,0.896140022,1.39E-05,0.000137794
SEMA7A,53.91128106,1.136725795,0.32575228,5.53E-05,0.000429589
CYP1A1,173.9622906,-1.609613392,0.58649019,0.000722866,0.00350428
CYP1A2,1794.469591,-4.045334069,0.676162932,3.81E-10,1.97E-08
GOLGA6C,43.50574379,-1.798747488,0.406771027,1.24E-06,1.87E-05
GOLGA6D,20.16610592,-1.619197991,0.385476508,3.40E-06,4.28E-05
ODF3L1,6.409639414,-1.1418095,0.441751255,0.001483322,0.006257114
LOC105370906,3.766241688,1.251231658,0.928930852,0.008767993,0.026424986
LINGO1,10.61841982,1.950619081,0.665867049,0.000135995,0.000895873
CIB2,10.74561583,1.165000033,0.43845745,0.000814882,0.003858657
RASGRF1,6.483996862,1.162693269,0.386523283,0.000353501,0.001941046
MINAR1,21.17446198,1.082781065,0.389755142,0.000658024,0.003247665
ARNT2,64.19372143,1.198338962,0.503833085,0.001372081,0.005876141
CEMIP,234.6669871,1.344348924,0.355010455,1.24E-05,0.000125062
LOC102724001,16.81063837,1.01994539,0.775231643,0.012373573,0.034732933
UBE2Q2P2,42.87088988,1.474900896,0.221411105,2.78E-12,2.63E-10
UBE2Q2P16,17.94862217,1.179184823,0.409208327,0.000400418,0.00215099
LOC440300,54.99148882,1.217109283,0.244374828,7.36E-08,1.80E-06
GOLGA2P7,27.0168601,1.181856166,0.233772043,5.91E-08,1.50E-06
LOC102724135,28.71520752,1.03568776,0.204854955,7.67E-08,1.86E-06
LOC112267869,9.883883788,1.169553702,0.42779514,0.000680088,0.003332311
LOC101929479,27.77894669,1.134433735,0.23918229,3.05E-07,5.75E-06
LOC102724393,6.781058838,1.705264799,0.542254801,0.000101397,0.000708114
ACAN,22.28669449,3.214050421,0.655732091,2.53E-08,7.33E-07
RLBP1,4.873848673,-1.569609189,0.364591202,1.89E-06,2.64E-05
FANCI,315.8939904,1.402971469,0.2687121,1.48E-08,4.70E-07
LOC105370964,6.151667443,2.148549767,0.728351734,0.00012875,0.000858053
LOC112268153,11.57290047,2.056259594,0.51771959,3.58E-06,4.45E-05
RHCG,15.26871243,3.572577262,0.607114427,1.16E-06,1.76E-05
TICRR,55.57339014,3.147877584,0.421728495,2.68E-15,5.29E-13
MESP2,3.891496502,2.835331181,0.936294752,1.00E-04,0.000700467
BLM,86.42510739,2.380095931,0.301069914,1.09E-16,3.22E-14
PRC1,205.7685753,2.688818254,0.331069089,1.44E-17,5.57E-15
PRC1-AS1,33.96125795,2.500291779,0.354011085,7.26E-14,1.01E-11
CRAT37,16.54602951,1.132643918,0.374954524,0.000288703,0.001648641
LOC105370997,26.14422874,-1.073838275,0.294082213,5.29E-05,0.000414166
LOC105371036,5.88884872,1.117719208,0.374357244,0.000415652,0.002217167
FBXL16,8.490215092,1.033357452,0.624815038,0.008816461,0.026544593
SSTR5-AS1,10.89756546,4.798174585,1.676604282,4.41E-05,0.000356632
SSTR5,3.009439543,6.442306257,2.904675581,0.000720928,0.003497589
LOC105371044,1.230621148,1.259028866,1.291327446,0.013234204,0.036717455
IGFALS,111.2992525,-3.170262008,0.472348588,2.75E-12,2.61E-10
SNORA64,19.70916729,-1.10075804,0.199182722,6.36E-09,2.29E-07
ABCA17P,3.01145586,1.91100521,0.494769918,0.007519318,0.023284552
CCNF,60.17312572,1.883121342,0.334028168,9.43E-10,4.39E-08
LOC105371050,5.932233165,1.315038443,0.421191341,0.00019144,0.001177642
TEDC2,11.51619105,2.159070465,0.417148548,1.53E-08,4.83E-07
PAQR4,35.81851471,1.550884651,0.316307512,7.08E-08,1.74E-06
PKMYT1,19.46234071,2.120458977,0.372848144,7.18E-10,3.47E-08
TRR-CCT3-1,4.047963598,-2.975705053,0.939850096,0.000156663,0.001003839
UBALD1,23.30000809,-1.220818823,0.199925141,1.85E-10,1.06E-08
LOC105371069,3.761127146,4.242987124,1.523392184,0.000128932,0.000858817
LOC105371070,4.438813176,6.029663981,1.798667542,0.00011873,0.000802363
LINC02152,1.950509467,4.171833842,1.226943206,0.000210498,0.001269973
LOC105371077,8.903529385,-1.064399136,0.534892315,0.007423794,0.023053906
SOCS1,10.52697132,-1.004449356,0.405478342,0.002564568,0.009750019
RMI2,31.4317189,2.016441575,0.414831611,5.73E-08,1.46E-06
LOC105371085,82.18274071,1.334087139,0.262547808,0.001469035,0.006209743
TRT-CGT2-1,0.833490634,-3.400326242,0.964415601,0.006240506,0.020062367
TMC7,39.15913923,2.474540991,0.377805769,2.20E-12,2.13E-10
LOC105371115,11.44545432,1.034527554,0.33504404,0.000302643,0.001710344
ACSM5,1598.043669,-1.511123071,0.416869861,4.06E-05,0.000334222
ACSM1,339.0230148,1.291366384,0.464164084,0.000398222,0.002141032
ACSM3,636.8966374,-1.573457021,0.24217884,1.26E-11,1.02E-09
REXO5,81.31140911,1.481617959,0.294435634,3.64E-08,1.01E-06
LOC105371121,4.472903083,1.778550942,0.476854232,1.90E-05,0.000176746
DNAH3,10.54216439,1.194264495,0.552286098,0.002503197,0.009545627
PLK1,47.66239272,2.454886229,0.412060413,9.88E-11,6.25E-09
SLC5A11,17.94411115,1.80098649,0.468062465,6.32E-06,7.21E-05
AQP8,6.871905497,3.194627377,0.852519383,6.11E-06,7.02E-05
KDM8,268.987796,-1.196383233,0.322432626,3.76E-05,0.000312513
SBK1,7.938221067,1.348352023,0.637330132,0.002139461,0.008389787
ZG16,164.2324982,-1.463299531,0.39619319,3.22E-05,0.000274441
LOC107984837,21.91303091,1.092076496,0.318308935,7.94E-05,0.000580296
SEZ6L2,93.96614729,3.825406732,0.548301975,6.36E-14,9.01E-12
TLCD3B,2.72226725,3.986422864,1.146043375,2.58E-06,3.40E-05
FBXL19-AS1,24.23023842,1.06991675,0.298965299,4.94E-05,0.000392125
HERC2P4,13.67052398,1.619691439,0.840731801,0.001820537,0.007395323
ENPP7P13,21.74775732,7.777171857,1.819971146,3.70E-08,1.02E-06
SHCBP1,55.49919322,2.584252829,0.398681413,3.45E-12,3.16E-10
ORC6,33.06217225,2.308976761,0.373641148,2.97E-11,2.17E-09
NETO2,33.80712854,1.870119413,0.291481331,2.93E-07,5.56E-06
LOC102724859,15.15040848,1.254290454,0.680687997,0.003856102,0.013578067
NKD1,212.9430175,1.917795001,0.574632004,0.000868066,0.004050869
CASC22,1.641248307,2.498519947,1.739141652,0.00465066,0.015782305
LOC107984901,11.79909772,1.38175391,0.678044756,0.002201371,0.008582472
RPGRIP1L,100.9605244,1.024284046,0.180237429,2.33E-09,9.65E-08
CRNDE,33.79988743,2.176742046,0.387515109,8.51E-10,4.01E-08
CES5A,22.08175953,-1.318844308,0.468640647,0.000696437,0.003401127
GNAO1,137.9921582,-1.677557279,0.426128187,1.10E-05,0.000112953
MT2A,3864.219009,-2.072971413,0.449089474,4.90E-07,8.58E-06
MT1L,97.13096541,-1.79170456,0.529922296,8.77E-05,0.000630466
MT1E,2433.973323,-2.259772482,0.487916848,4.48E-07,7.97E-06
MT1M,544.34398,-3.226429018,0.612624294,1.97E-08,5.93E-07
MT1JP,36.21284069,-5.008016022,0.573750349,4.69E-19,2.56E-16
MT1A,200.7687671,-2.424333257,0.542624587,9.76E-07,1.53E-05
MT1DP,19.94505192,-2.039613513,0.579976413,4.95E-05,0.000392952
MT1F,363.800818,-2.600161222,0.569396896,6.23E-07,1.04E-05
LOC101927536,11.00306794,-3.327077787,0.500328194,3.36E-12,3.11E-10
MT1G,1577.130504,-2.403628976,0.617439161,1.17E-05,0.000119626
MT1H,337.9427579,-2.394992859,0.696522427,6.60E-05,0.000496498
MT1X,3594.217505,-2.452767144,0.504766816,1.47E-07,3.17E-06
CETP,203.7102662,-2.415258868,0.338451381,1.28E-13,1.73E-11
LOC105371291,12.3236724,1.774356378,0.526781748,3.91E-05,0.000323496
LOC107984889,31.49625417,2.324896179,0.545490291,6.64E-07,1.10E-05
CDH8,3.207131732,2.032383869,0.936093677,0.001237725,0.005404035
CDH11,264.7835161,1.747872539,0.45814898,6.48E-06,7.35E-05
CDH16,8.80803928,2.840152422,0.698786773,1.96E-06,2.73E-05
PLEKHG4,22.60063536,1.410252081,0.524216811,0.000448124,0.002366232
GFOD2,373.40258,-1.037660752,0.157190241,9.64E-12,8.06E-10
LCAT,297.9855026,-2.387509138,0.295915779,9.62E-17,2.94E-14
NQO1,647.9100255,3.511603176,0.649447953,1.12E-09,5.08E-08
TAT,25381.85635,-1.029784666,0.523898091,0.007966295,0.024433478
DHODH,787.1273775,-1.988173812,0.281991572,2.45E-13,3.01E-11
HP,171998.7679,-1.33932522,0.436974692,0.000158765,0.001013415
HPR,30722.23059,-1.679518723,0.467211788,4.11E-05,0.000337238
PMFBP1,27.5506491,2.110238036,0.39537493,4.56E-09,1.70E-07
LOC105371341,5.165967015,2.230191178,0.558174776,4.71E-06,5.63E-05
LINC01572,34.55836507,2.402488677,0.39633832,5.79E-11,3.90E-09
LOC107984814,7.514476532,1.182692162,0.362387714,0.000152097,0.000980834
LDHD,323.9462581,-1.185516157,0.337240382,7.96E-05,0.000581712
CHST6,2.784662253,1.732117336,0.797102125,0.001716948,0.007038338
CNTNAP4,33.32924185,1.390650348,1.230215278,0.005683015,0.018623247
ADAMTS18,8.701621786,3.400494386,0.822918463,0.001940152,0.007777629
LOC105371357,3.491776816,2.786584688,0.993495548,0.000130585,0.000868212
DYNLRB2-AS1,3.227136106,2.270982546,0.914176722,0.00056454,0.002858239
CDH13-AS1,3.892386211,1.276995822,0.441408843,0.000488074,0.002532937
LOC105371366,8.21277475,1.101580155,0.303214976,4.62E-05,0.00037159
GINS2,37.62354507,1.060216746,0.314357116,0.000102144,0.000711945
FOXC2,3.867627856,1.198023855,0.686007513,0.006238404,0.02005818
FOXL1,9.560598912,1.521856517,0.421411396,0.003340964,0.012119629
LOC105369246,6.170468908,-1.221480066,0.313372894,1.55E-05,0.000149928
CDT1,19.39522185,1.368057073,0.311660234,1.13E-06,1.72E-05
CBFA2T3,19.08917935,-1.409729224,0.395001257,5.18E-05,0.00040647
LOC101927793,7.048953763,-3.050171199,0.476097015,1.65E-11,1.29E-09
CPNE7,15.30382214,1.830893095,0.51120121,1.63E-05,0.000155932
TUBB3,18.73994805,2.325833434,0.574710964,1.86E-06,2.61E-05
DBNDD1,56.63541009,1.217574677,0.363800227,7.82E-05,0.000573405
PRDM7,4.891957504,1.915438916,0.663450715,0.000209396,0.001265503
LOC102723753,15.8712896,2.296021429,0.82422216,0.000138552,0.000909138
LOC101927727,18.67622405,-1.355669478,0.407311036,0.000129064,0.000859326
MIR22,10.67674149,-1.12461492,0.305047858,4.09E-05,0.000336381
SERPINF2,5894.484931,-1.313213685,0.285399319,7.04E-07,1.16E-05
ASPA,124.2541346,-1.556145942,0.323774154,2.25E-07,4.48E-06
HASPIN,13.99281775,2.542379281,0.444515718,5.96E-10,2.91E-08
PITPNM3,45.29223918,-1.901984461,0.326440816,7.43E-10,3.57E-08
SLC13A5,2540.657226,-1.255160192,0.409122071,0.000345236,0.001903461
ASGR1,1808.632136,-1.145620845,0.277615054,7.28E-06,8.08E-05
MIR324,12.15417994,-1.207290435,0.237140819,5.73E-08,1.46E-06
TMEM256,134.2156027,-1.357356717,0.210905533,2.11E-11,1.58E-09
SNORD10,180.4375315,-1.419373204,0.206683289,1.10E-12,1.15E-10
SHBG,219.5066245,-1.025445653,0.445597623,0.004018848,0.014036877
EFNB3,10.54081619,-1.222269911,0.418751572,0.000542881,0.002767569
GUCY2D,13.56305526,1.050958118,0.387949773,0.00090668,0.004199818
SNORD118,20.4829663,-1.729704919,0.280516301,9.12E-11,5.82E-09
AURKB,28.60451273,2.522792092,0.395870711,8.91E-12,7.50E-10
LOC105371529,10.62840191,-1.271687785,0.305127163,4.66E-06,5.58E-05
USP43,122.9033791,-1.202149774,0.357652512,0.000135553,0.000893435
GLP2R,23.38432124,-1.057384278,0.48933747,0.005310833,0.017585039
MYH13,2.232759936,1.105536825,0.973077669,0.015242866,0.04109089
MYH4,96.43817215,8.441495979,0.979969202,2.09E-13,2.61E-11
MYH2,2.033227211,2.785344392,1.126592874,0.014898527,0.040322926
TMEM220,615.0730513,-1.016676887,0.263515621,2.61E-05,0.000230222
HS3ST3A1,35.76927936,-1.072057706,0.266273394,1.19E-05,0.000121219
HS3ST3B1,826.0138149,-1.35091989,0.305499431,1.62E-06,2.32E-05
FBXW10B,22.88362693,1.400537048,0.442992473,0.000116364,0.000789566
TRIM16,180.0242831,1.802966741,0.311422241,4.16E-10,2.13E-08
KRT16P2,11.64554392,-2.701111268,1.08412852,0.001163368,0.0051454
PEMT,319.4652365,-1.606425788,0.308855402,2.89E-08,8.24E-07
LOC105371566,63.26692722,-1.263397526,0.347290081,4.56E-05,0.000367319
SHMT1,2362.882388,-1.052393105,0.313193356,0.000162852,0.001033718
KRT16P1,11.8856285,-4.406426057,0.813438275,9.77E-09,3.30E-07
LOC105371569,3.557134939,-4.003447956,0.768398491,2.18E-08,6.48E-07
TRIM16L,178.5758979,1.658777116,0.336650639,4.97E-08,1.30E-06
FBXW10,20.39857745,1.669767417,0.496919331,4.29E-05,0.000349053
KRT16P3,4.609804756,-3.804420601,0.909242525,3.51E-06,4.38E-05
NOS2,12.04230081,1.191514563,0.386308493,0.000229689,0.001363461
LOC101926984,2.773366413,2.72434764,1.430411524,0.001237111,0.00540305
SEZ6,34.2028122,2.078993486,0.405522962,9.39E-05,0.000666101
ANKRD13B,10.54145416,1.097567408,0.407154698,0.000844861,0.003968413
ATAD5,223.1269196,1.662855655,0.255157483,4.62E-12,4.12E-10
LOC107984974,298.6993485,-1.093916181,0.181286764,3.53E-10,1.85E-08
RAB11FIP4,311.0994242,1.236256093,0.236255204,1.81E-08,5.54E-07
CCL2,225.3665023,-1.562639332,0.400372666,1.33E-05,0.000132249
SLFN13,226.4777143,1.125622218,0.379032375,0.000313053,0.001758566
LRRC37A8P,16.74804201,1.137383986,0.37629479,0.000282833,0.001622507
RDM1,8.603781838,1.909001266,0.442870984,1.01E-06,1.57E-05
CCL14,162.3839738,-2.055165732,0.302834824,1.53E-12,1.56E-10
CCL3,100.7169699,-1.885210379,0.363444446,2.83E-08,8.09E-07
CCL4,118.1114892,-2.1452947,0.353429766,1.68E-10,9.77E-09
CCL3L3,43.00283202,-1.162431926,0.341376412,0.000119797,0.000809139
CCL4L2,117.8028588,-1.756850251,0.384459228,6.56E-07,1.09E-05
C17orf78,12.31219403,1.267511435,0.373898476,6.92E-05,0.00051655
YWHAEP7,2.482332883,2.589054569,1.113015595,0.002743286,0.010284555
EPOP,39.4574799,-1.125463569,0.325309223,0.000102481,0.000713895
RDM1P5,9.42205319,1.660180312,0.424126227,7.05E-06,7.89E-05
PLXDC1,73.40609245,1.717532454,0.365280896,1.50E-07,3.21E-06
CSF3,1.233227456,-2.160913838,1.011536473,0.002461028,0.009414868
CDC6,112.3362641,3.317788044,0.388084063,3.57E-19,2.20E-16
TOP2A,938.6402275,4.162234796,0.424313532,1.72E-24,3.93E-21
LOC107985090,5.897547728,-1.379943542,0.41590159,0.000116878,0.000792191
LOC105371777,5.872442354,1.724642133,0.575756196,0.000169604,0.001066265
KRT20,26.81710359,5.005129985,1.091629702,6.20E-08,1.56E-06
KRT23,232.6271304,1.873497423,0.578715968,4.49E-05,0.000362679
LOC107985072,25.03227232,2.006668306,0.559596895,1.28E-05,0.000128359
KRT17,4.400825885,4.082728547,0.623128224,1.16E-05,0.000118566
P3H4,49.99807044,1.159046569,0.395932895,0.00033934,0.00187673
WNK4,51.28116419,1.717800146,0.349711418,5.09E-08,1.32E-06
BRCA1,235.2880479,1.732986912,0.296728173,3.00E-10,1.62E-08
ARL4D,133.3462034,-1.250024347,0.329466032,2.55E-05,0.000225798
ETV4,58.44238149,2.079787271,0.427045287,4.52E-08,1.19E-06
MEOX1,12.80909683,1.583313271,0.609123207,0.000483978,0.002516319
MPP3,33.86928853,1.071281005,0.347092001,0.000255481,0.001491512
HROB,22.48614127,1.110150811,0.305549288,3.75E-05,0.000312184
GJC1,120.2083315,1.831178414,0.366154173,3.08E-08,8.76E-07
KIF18B,40.19614728,3.921351671,0.518462856,1.20E-15,2.63E-13
C1QL1,2.905928158,1.024981481,1.17357018,0.015514796,0.041640525
MAPT,31.88032668,1.407367929,0.33639416,2.33E-06,3.13E-05
MAPT-IT1,7.049535223,1.128988437,0.529065172,0.003231464,0.011776891
SP6,4.855518863,1.107013701,0.584695464,0.005631525,0.018471402
SP2-DT,27.27251801,-1.159562049,0.2236762,4.14E-08,1.12E-06
SKAP1,94.19607924,-1.012878159,0.275261303,5.28E-05,0.000413649
TTLL6,8.869793911,1.060548872,0.718739481,0.009982805,0.029334645
IGF2BP1,278.1617925,8.829205547,1.042930045,4.08E-19,2.33E-16
B4GALNT2,57.27258232,5.250438706,0.817448679,2.07E-12,2.03E-10
COL1A1,2603.728701,2.75302619,0.458487257,8.62E-08,2.05E-06
MYCBPAP,6.866400796,1.745888183,0.444684068,7.09E-06,7.92E-05
EPN3,5.414008272,1.813484645,0.565137532,9.95E-05,0.000698034
LINC01982,3.09658014,2.298887905,1.290648398,0.00147521,0.006227453
STXBP4,343.6108061,1.290993721,0.192404958,2.13E-12,2.08E-10
LOC107985002,44.76838445,1.061682341,0.236150331,1.02E-06,1.59E-05
RNF43,206.2844328,1.24448292,0.298441829,3.01E-06,3.85E-05
PRR11,112.3892696,2.037871306,0.351812161,3.22E-10,1.72E-08
GDPD1,33.53705062,1.158720356,0.25080215,5.14E-07,8.93E-06
YPEL2,758.9824629,-1.052239075,0.157129649,5.01E-12,4.46E-10
TBX4,2.47210007,3.78181946,1.179089531,1.21E-05,0.000122507
BRIP1,223.6255774,1.731357651,0.31573318,2.38E-09,9.78E-08
TCAM1P,5.974187996,3.994728823,1.403145314,6.06E-05,0.000462117
SCN4A,19.46523843,1.220713726,0.386426015,0.000157076,0.001005446
LOC107985000,32.09694211,1.576671743,0.256154873,6.78E-11,4.49E-09
LOC105371864,5.775771038,1.79795447,0.429904763,2.59E-06,3.42E-05
LOC105371867,21.84063842,1.001611297,0.227719798,1.98E-06,2.76E-05
APOH,42258.38444,-1.440768602,0.32377313,1.06E-06,1.64E-05
CACNG4,5.473593081,1.406514963,0.753776136,0.00321771,0.011740409
KPNA2,478.5105828,1.106214864,0.231698213,2.40E-07,4.73E-06
LINC01482,21.93010588,-1.668466217,0.533845768,0.000210784,0.001271088
LOC105371874,101.0953457,-1.040921639,0.336525999,0.000409166,0.002190015
LINC01152,29.11960522,1.13730593,0.500329149,0.002033925,0.008072641
SOX9-AS1,60.0722436,2.684674229,0.336938984,5.69E-17,1.78E-14
LINC02097,18.43503352,2.814615957,0.457629039,3.73E-11,2.66E-09
LOC107987249,9.095055215,2.543420223,0.477523937,6.60E-09,2.35E-07
SOX9,277.7349464,2.290550742,0.392529498,2.13E-10,1.20E-08
LINC00673,16.1425964,1.342023689,0.784251932,0.00392267,0.013760331
KIF19,9.32391061,-1.706956641,0.305778566,2.70E-09,1.09E-07
ITGB4,82.46202735,1.636570805,0.471905054,0.005418116,0.017878929
EVPL,12.025388,1.79818027,1.049873946,0.002038124,0.008084193
RNF157-AS1,26.33982779,2.085676713,0.416587375,2.58E-08,7.44E-07
RNF157,156.5455977,2.097230149,0.392722135,3.78E-09,1.45E-07
LOC105371896,5.996011204,2.330169864,0.633888411,1.09E-05,0.000112425
TK1,48.97392136,1.006288511,0.321691407,0.000251278,0.00147172
BIRC5,93.25751047,3.225318872,0.437048145,4.45E-15,8.21E-13
LOC105371910,5.054559945,-1.34892503,0.353552053,1.77E-05,0.000167419
SOCS3,696.5849236,-1.7144251,0.415993197,5.02E-06,5.94E-05
C1QTNF1,239.2282034,-1.297307006,0.335163482,1.81E-05,0.000169832
CBX2,28.28134905,2.169583726,0.380821036,5.92E-10,2.90E-08
LOC102723961,7.675363162,2.474050789,0.608117035,2.30E-06,3.09E-05
LINC01977,4.776010019,1.77572203,0.540985829,7.40E-05,0.000547255
CEP131,32.37280069,1.01086834,0.26109815,1.75E-05,0.000165832
LOC105371929,5.153129202,1.7832776,0.63080169,0.000271806,0.001570377
PPP1R27,1.059607981,2.444423056,0.69817113,0.008856661,0.026643249
MILIP,4.389884186,1.81802579,0.567677472,9.69E-05,0.000684392
PYCR1,54.96481468,1.881180625,0.503137938,7.82E-06,8.55E-05
DCXR,1857.468437,-1.596139019,0.384570152,4.65E-06,5.58E-05
RPL23AP87,4.74801516,1.069205744,0.40615207,0.001292994,0.005599551
LOC105379280,194.9173718,1.694375272,0.351017203,7.88E-08,1.90E-06
COLEC12,51.71515988,1.25593422,0.461074108,0.000511391,0.002634332
LOC107985155,2.852661114,1.651201806,0.768210547,0.001895541,0.007644499
CLUL1,8.978974774,1.995414984,0.461157425,1.02E-06,1.58E-05
TYMSOS,12.16489586,1.570693461,0.435897719,2.24E-05,0.00020116
TYMS,162.1339271,1.217913424,0.246712813,9.51E-08,2.23E-06
LOC105371953,21.72757757,1.813732355,0.696855904,0.000330872,0.001838073
LOC105371954,14.02381394,1.14424182,0.842423558,0.008679376,0.026216794
LOC105371959,13.70100834,3.818499313,0.854970624,1.75E-07,3.65E-06
LOC105371957,2.560396188,2.079328331,2.244252716,0.015109954,0.040798339
NDC80,98.69472371,3.07574169,0.376084247,8.26E-18,3.34E-15
LOC105371965,7.189806061,1.447639616,0.669518713,0.001669212,0.006874096
GAPLINC,13.27981602,2.471836851,0.605169097,1.56E-06,2.26E-05
LOC105371992,2.42794792,1.282995741,0.728404609,0.00592581,0.019260416
ANKRD62,5.296141944,3.434794715,1.041871574,1.88E-05,0.000175366
PRELID3A,7.098252105,1.316097987,0.486036537,0.00063464,0.003153971
ZNF519,91.05890452,1.546882296,0.249211722,4.21E-11,2.93E-09
MIR320C1,4.925241538,1.033645355,0.35428447,0.000627491,0.003124629
ANKRD29,103.1640923,2.041178658,0.387514355,6.21E-09,2.24E-07
LAMA3,396.1709744,2.174069968,0.369214306,1.54E-10,9.09E-09
LOC105372031,11.04594974,1.070443625,0.364713103,0.000443618,0.002346883
LOC107985143,5.844495615,1.21638346,0.612481026,0.003655937,0.013015715
DSC1,4.962729941,1.090141298,0.484505459,0.003020832,0.011148378
TTR,17530.93289,-2.034223738,0.442285334,5.13E-07,8.93E-06
SLC25A52,8.619482419,-1.617359826,0.428105517,1.96E-05,0.000181447
GAREM1,614.8792105,-1.346647635,0.229142447,7.31E-10,3.53E-08
DTNA,404.0942726,2.058869664,0.416804657,3.14E-08,8.91E-07
LOC105372061,54.13376018,1.901399358,0.472385491,2.44E-06,3.25E-05
LOC102724417,5.1665875,5.421930842,1.776316514,3.16E-05,0.000270086
LOC105372072,7.324084603,4.537334186,1.177299976,1.33E-06,1.97E-05
MIR924HG,3.5953427,4.281460983,0.769698054,3.12E-06,3.97E-05
LOC112268214,2.864425938,4.500651777,1.055983862,1.57E-05,0.00015105
LOC101927857,19.21470413,4.302141587,0.788378714,1.48E-09,6.47E-08
LINC00907,43.90737221,-2.022864576,0.592900414,7.43E-05,0.000549532
LOC107985153,8.900514462,1.158201428,0.403308947,0.000460271,0.002414619
SIGLEC15,29.46838294,1.656063769,0.401533134,2.25E-06,3.04E-05
LOC105372112,9.968049839,-1.343642121,0.44556564,0.000348597,0.0019182
LOC112268210,81.91811807,-2.97774785,0.551112368,8.71E-09,3.01E-07
LOC107984031,5.526627675,-1.917637529,0.482171089,7.05E-06,7.89E-05
ACAA2,4313.757028,-1.013673258,0.271778166,4.35E-05,0.000353029
CFAP53,10.90909863,1.47672911,0.384412952,1.05E-05,0.000109094
SKA1,44.50146349,4.404479875,0.493227113,2.45E-20,2.03E-17
MRO,107.8108678,-1.548632635,0.335135477,5.56E-07,9.51E-06
C18orf54,56.09300546,1.2297948,0.28054888,1.27E-06,1.90E-05
LINC01415,9.417053336,2.06947093,0.545510578,0.013473979,0.037230381
LOC107985164,15.83475774,1.411015023,1.283858965,0.005710993,0.018707603
