,baseMean,log2FoldChange,lfcSE,pvalue,padj
LOC107984630,1.83351363,2.430226641,1.38680927,0.002145008,0.008407867
LOC112267892,0.924560205,3.736524089,1.141233708,0.006761874,0.021376961
CATSPERB,38.97713037,1.272118757,0.556425369,0.001500851,0.006315468
ITPK1-AS1,35.39257749,1.135539367,0.329900481,6.89E-05,0.000514867
PRIMA1,3.383696445,-1.876403112,0.5809471,0.000131962,0.000875512
IFI27,1202.178127,1.115978151,0.460126037,0.001459731,0.006179781
SERPINA11,2008.648194,-1.056769705,0.402697541,0.001655636,0.00683389
SERPINA4,2252.172523,-1.06194767,0.318698727,0.000176101,0.001099186
LOC112268127,479.2437287,-1.036720187,0.227954669,1.24E-06,1.87E-05
BDKRB2,109.5258851,1.988512809,0.503458642,3.00E-06,3.85E-05
BDKRB1,10.67586692,2.887094909,0.503669906,5.19E-10,2.60E-08
SLC25A47,645.9751496,-1.997709335,0.525745032,1.75E-05,0.000165832
DLK1,33.35367594,3.705345091,1.288165212,0.009839219,0.029021278
LOC107984697,2.675516758,-1.45411527,0.658266477,0.002878798,0.010701451
DIO3OS,17.43678697,-1.941858946,0.466192214,3.76E-06,4.65E-05
ASPG,407.0760376,-1.143387769,0.45849905,0.002095345,0.008256343
C14orf180,12.96517047,-3.370653249,0.633800892,1.43E-08,4.58E-07
TMEM179,3.834662811,-1.953668936,0.55120002,3.93E-05,0.000325165
JAG2,25.23538833,1.358354015,0.314845456,1.57E-06,2.27E-05
